gen,nevals,avg,std,min,max
3,4,[0.03985199],[5.72625112e-06],[0.03985008],[0.03986999]
4,1,[0.0398568],[9.16443106e-06],[0.03985008],[0.03986999]
5,3,[0.03988295],[4.98893528e-05],[0.03986832],[0.04009817]
6,3,[0.03993193],[9.66421045e-05],[0.03986999],[0.04009817]
7,1,[0.04008839],[4.26116964e-05],[0.03990265],[0.04009817]
8,4,[0.04014613],[0.00015805],[0.04009817],[0.04078956]
9,3,[0.04051503],[0.00026306],[0.04010613],[0.04080165]
10,5,[0.04084916],[0.00024596],[0.04078956],[0.04192105]
11,4,[0.04096896],[0.00039997],[0.04078956],[0.04192105]
12,4,[0.04147368],[0.00054792],[0.04080165],[0.04192105]
13,4,[0.04212208],[0.00087628],[0.04192105],[0.04594169]
14,5,[0.04272545],[0.00160812],[0.04192105],[0.04594169]
15,3,[0.04493788],[0.00173864],[0.04192647],[0.04594169]
16,4,[0.04594169],[6.9388939e-18],[0.04594169],[0.04594169]
17,0,[0.04594169],[6.9388939e-18],[0.04594169],[0.04594169]
18,1,[0.04594169],[6.9388939e-18],[0.04594169],[0.04594169]
19,3,[0.04597029],[0.00012469],[0.04594169],[0.0465138]
20,2,[0.0459989],[0.00017163],[0.04594169],[0.0465138]
21,2,[0.04613725],[0.0002672],[0.04594169],[0.0465138]
22,1,[0.0465138],[6.9388939e-18],[0.0465138],[0.0465138]
23,2,[0.04651468],[3.8296195e-06],[0.0465138],[0.04653137]
24,0,[0.04651644],[6.27428025e-06],[0.0465138],[0.04653137]
25,6,[0.04652301],[8.55337688e-06],[0.0465138],[0.04653137]
26,3,[0.04653137],[0.],[0.04653137],[0.04653137]
27,3,[0.04653137],[0.],[0.04653137],[0.04653137]
28,7,[0.04653137],[0.],[0.04653137],[0.04653137]
29,3,[0.04653137],[0.],[0.04653137],[0.04653137]
30,1,[0.04653137],[0.],[0.04653137],[0.04653137]
31,4,[0.04653137],[0.],[0.04653137],[0.04653137]
32,4,[0.04653137],[0.],[0.04653137],[0.04653137]
33,4,[0.0465469],[6.76781821e-05],[0.04653137],[0.0468419]
34,3,[0.0467095],[0.00031378],[0.04653137],[0.04792015]
35,1,[0.04700364],[0.00038501],[0.0468419],[0.04792015]
36,4,[0.04792015],[1.38777878e-17],[0.04792015],[0.04792015]
37,5,[0.04794552],[0.0001106],[0.04792015],[0.04842762]
38,5,[0.04859485],[0.00271239],[0.04792015],[0.06039934]
39,1,[0.05201914],[0.00548613],[0.04842762],[0.06039934]
40,3,[0.06039934],[0.],[0.06039934],[0.06039934]
41,1,[0.06039934],[0.],[0.06039934],[0.06039934]
42,3,[0.06039988],[2.33206328e-06],[0.06039934],[0.06041004]
43,5,[0.06046888],[0.00029088],[0.06039934],[0.06173664]
44,4,[0.06088618],[0.00062614],[0.06041004],[0.06173664]
45,7,[0.06177621],[0.00017247],[0.06173664],[0.06252799]
46,4,[0.06197405],[0.00036264],[0.06173664],[0.06252799]
47,2,[0.06252799],[1.38777878e-17],[0.06252799],[0.06252799]
48,3,[0.06252799],[1.38777878e-17],[0.06252799],[0.06252799]
49,3,[0.06252799],[1.38777878e-17],[0.06252799],[0.06252799]
50,2,[0.06252799],[1.38777878e-17],[0.06252799],[0.06252799]
51,4,[0.06252799],[1.38777878e-17],[0.06252799],[0.06252799]
52,2,[0.06252799],[1.38777878e-17],[0.06252799],[0.06252799]
53,3,[0.0625309],[1.26657707e-05],[0.06252799],[0.06258611]
54,4,[0.06254252],[2.51643346e-05],[0.06252799],[0.06258611]
55,3,[0.06258611],[1.38777878e-17],[0.06258611],[0.06258611]
56,0,[0.06258611],[1.38777878e-17],[0.06258611],[0.06258611]
57,3,[0.06258611],[1.38777878e-17],[0.06258611],[0.06258611]
58,6,[0.06259996],[6.03996716e-05],[0.06258611],[0.06286324]
59,1,[0.06265539],[0.00012],[0.06258611],[0.06286324]
60,2,[0.06286324],[1.38777878e-17],[0.06286324],[0.06286324]
61,5,[0.06286324],[1.38777878e-17],[0.06286324],[0.06286324]
62,7,[0.06286324],[1.38777878e-17],[0.06286324],[0.06286324]
63,2,[0.06286324],[1.38777878e-17],[0.06286324],[0.06286324]
64,3,[0.06286324],[1.38777878e-17],[0.06286324],[0.06286324]
65,2,[0.06286324],[1.38777878e-17],[0.06286324],[0.06286324]
66,4,[0.06286324],[1.38777878e-17],[0.06286324],[0.06286324]
67,5,[0.06286324],[1.38777878e-17],[0.06286324],[0.06286324]
68,6,[0.06286324],[1.38777878e-17],[0.06286324],[0.06286324]
69,2,[0.06286324],[1.38777878e-17],[0.06286324],[0.06286324]
70,0,[0.06286324],[1.38777878e-17],[0.06286324],[0.06286324]
71,4,[0.06288348],[8.820995e-05],[0.06286324],[0.06326798]
72,3,[0.06294419],[0.00016189],[0.06286324],[0.06326798]
73,7,[0.06320727],[0.00014452],[0.06286324],[0.06326798]
74,3,[0.06326798],[0.],[0.06326798],[0.06326798]
75,4,[0.06326798],[0.],[0.06326798],[0.06326798]
76,5,[0.06326798],[0.],[0.06326798],[0.06326798]
77,5,[0.06326798],[0.],[0.06326798],[0.06326798]
78,7,[0.06326798],[0.],[0.06326798],[0.06326798]
79,4,[0.06326798],[0.],[0.06326798],[0.06326798]
80,3,[0.06326798],[0.],[0.06326798],[0.06326798]
81,5,[0.06326798],[0.],[0.06326798],[0.06326798]
82,4,[0.06326798],[0.],[0.06326798],[0.06326798]
83,5,[0.06326798],[0.],[0.06326798],[0.06326798]
84,7,[0.06326798],[0.],[0.06326798],[0.06326798]
85,2,[0.06326798],[0.],[0.06326798],[0.06326798]
86,3,[0.06326798],[0.],[0.06326798],[0.06326798]
87,6,[0.06326798],[0.],[0.06326798],[0.06326798]
88,4,[0.06326798],[0.],[0.06326798],[0.06326798]
89,10,[0.06326798],[0.],[0.06326798],[0.06326798]
90,2,[0.06326798],[0.],[0.06326798],[0.06326798]
91,0,[0.06326798],[0.],[0.06326798],[0.06326798]
92,3,[0.06326798],[0.],[0.06326798],[0.06326798]
93,4,[0.06326798],[0.],[0.06326798],[0.06326798]
94,4,[0.06326798],[0.],[0.06326798],[0.06326798]
95,1,[0.06326798],[0.],[0.06326798],[0.06326798]
96,1,[0.06326798],[0.],[0.06326798],[0.06326798]
97,1,[0.06326798],[0.],[0.06326798],[0.06326798]
98,4,[0.06326798],[0.],[0.06326798],[0.06326798]
99,4,[0.06326798],[0.],[0.06326798],[0.06326798]
100,2,[0.06326798],[0.],[0.06326798],[0.06326798]
,,,,,
gen,nevals,avg,std,min,max
0,20,[0.03767464],[0.00112657],[0.03534322],[0.03985008]
1,10,[0.03910803],[0.00037562],[0.03878879],[0.03985008]
2,8,[0.03985008],[0.],[0.03985008],[0.03985008]
3,5,[0.03985268],[6.25801501e-06],[0.03985008],[0.03986999]
4,2,[0.03985795],[8.8862978e-06],[0.03985008],[0.03986999]
5,8,[0.04001589],[0.00040124],[0.03986832],[0.04123629]
