gen,nevals,avg,std,min,max
3,6,[0.25567115],[1.31717735e-05],[0.25566813],[0.25572856]
4,2,[0.25569563],[8.11873995e-05],[0.25566813],[0.25603691]
5,2,[0.25580565],[0.00013352],[0.25572856],[0.25603691]
6,2,[0.25599123],[0.00011037],[0.25572856],[0.25604832]
7,7,[0.25603919],[4.56560343e-06],[0.25603691],[0.25604832]
8,4,[0.25604775],[2.4876255e-06],[0.25603691],[0.25604832]
9,2,[0.25604832],[5.55111512e-17],[0.25604832],[0.25604832]
10,3,[0.25604889],[2.47523704e-06],[0.25604832],[0.25605968]
11,4,[0.25605178],[5.17419689e-06],[0.25604832],[0.25605968]
12,5,[0.25606836],[3.78145588e-05],[0.25605968],[0.25623318]
13,3,[0.25610306],[7.512991e-05],[0.25605968],[0.25623318]
14,5,[0.25623318],[5.55111512e-17],[0.25623318],[0.25623318]
15,6,[0.25623318],[5.55111512e-17],[0.25623318],[0.25623318]
16,5,[0.25623373],[2.35466574e-06],[0.25623318],[0.25624399]
17,4,[0.25623805],[5.37489595e-06],[0.25623318],[0.25624399]
18,11,[0.25624399],[5.55111512e-17],[0.25624399],[0.25624399]
19,4,[0.25624399],[5.55111512e-17],[0.25624399],[0.25624399]
20,2,[0.25624399],[5.55111512e-17],[0.25624399],[0.25624399]
21,6,[0.25624564],[7.18114281e-06],[0.25624399],[0.25627694]
22,4,[0.25625058],[1.31797372e-05],[0.25624399],[0.25627694]
23,5,[0.25626541],[1.5715835e-05],[0.25624399],[0.25627694]
24,6,[0.25627694],[0.],[0.25627694],[0.25627694]
25,6,[0.25627694],[0.],[0.25627694],[0.25627694]
26,7,[0.25627694],[0.],[0.25627694],[0.25627694]
27,2,[0.25627694],[0.],[0.25627694],[0.25627694]
28,2,[0.25627694],[0.],[0.25627694],[0.25627694]
29,2,[0.25627694],[0.],[0.25627694],[0.25627694]
30,3,[0.25627694],[0.],[0.25627694],[0.25627694]
31,1,[0.25627694],[0.],[0.25627694],[0.25627694]
32,5,[0.25627694],[0.],[0.25627694],[0.25627694]
33,3,[0.25627694],[0.],[0.25627694],[0.25627694]
34,1,[0.25627694],[0.],[0.25627694],[0.25627694]
35,4,[0.25627694],[0.],[0.25627694],[0.25627694]
36,2,[0.25627694],[0.],[0.25627694],[0.25627694]
37,1,[0.25627694],[0.],[0.25627694],[0.25627694]
38,1,[0.25627694],[0.],[0.25627694],[0.25627694]
39,3,[0.25627694],[0.],[0.25627694],[0.25627694]
40,2,[0.25627694],[0.],[0.25627694],[0.25627694]
41,5,[0.25627694],[0.],[0.25627694],[0.25627694]
42,1,[0.25627694],[0.],[0.25627694],[0.25627694]
43,1,[0.25627694],[0.],[0.25627694],[0.25627694]
44,4,[0.25627694],[0.],[0.25627694],[0.25627694]
45,3,[0.25627694],[0.],[0.25627694],[0.25627694]
46,7,[0.25627694],[0.],[0.25627694],[0.25627694]
47,4,[0.25627694],[0.],[0.25627694],[0.25627694]
